ox_code,cross,role,n_reads,median_cov,mean_cov,sex,colony_id,accession,ftp_path
AD0231-C,29-2,parent,45176208,20,19.3052227594,F,ghana,ERZ407167,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407167/AD0231_C.bam
AD0232-C,29-2,parent,57232564,25,24.2984196235,M,kisumu,ERZ407168,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407168/AD0232_C.bam
AD0234-C,29-2,progeny,48905653,16,15.6923104196,F,,ERZ407169,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407169/AD0234_C.bam
AD0235-C,29-2,progeny,53964892,17,17.3085804816,F,,ERZ407170,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407170/AD0235_C.bam
AD0236-C,29-2,progeny,53723734,17,17.2298490883,F,,ERZ407171,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407171/AD0236_C.bam
AD0237-C,29-2,progeny,54577511,17,17.516396643,F,,ERZ407172,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407172/AD0237_C.bam
AD0238-C,29-2,progeny,52922781,17,16.9886994846,F,,ERZ407173,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407173/AD0238_C.bam
AD0239-C,29-2,progeny,49895479,16,16.0075830535,F,,ERZ407174,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407174/AD0239_C.bam
AD0240-C,29-2,progeny,61373108,27,26.2172368821,M,,ERZ407175,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407175/AD0240_C.bam
AD0241-C,29-2,progeny,51074488,16,16.416140617699998,F,,ERZ407176,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407176/AD0241_C.bam
AD0242-C,29-2,progeny,83551381,36,35.6783905057,M,,ERZ407177,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407177/AD0242_C.bam
AD0243-C,29-2,progeny,54460635,17,17.4716281453,F,,ERZ407178,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407178/AD0243_C.bam
AD0244-C,29-2,progeny,50141636,22,21.430179372999998,F,,ERZ407179,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407179/AD0244_C.bam
AD0245-C,29-2,progeny,58518886,19,18.8094434198,F,,ERZ407180,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407180/AD0245_C.bam
AD0246-C,29-2,progeny,58005966,19,18.6317389765,F,,ERZ407181,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407181/AD0246_C.bam
AD0247-C,29-2,progeny,67400030,29,28.7902358127,M,,ERZ407182,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407182/AD0247_C.bam
AD0248-C,29-2,progeny,54393168,23,23.2398778015,F,,ERZ407183,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407183/AD0248_C.bam
AD0249-C,29-2,progeny,65772058,28,28.127704125999998,F,,ERZ407184,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407184/AD0249_C.bam
AD0250-C,29-2,progeny,55903385,18,17.9447717897,F,,ERZ407185,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407185/AD0250_C.bam
AD0251-C,29-2,progeny,48529121,16,15.568809825699999,F,,ERZ407186,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407186/AD0251_C.bam
AD0252-C,29-2,progeny,51956192,17,16.6753148808,F,,ERZ407187,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407187/AD0252_C.bam
AD0253-C,29-2,progeny,58417028,25,24.9517398345,M,,ERZ407188,ftp://ftp.sra.ebi.ac.uk/vol1/ERZ407/ERZ407188/AD0253_C.bam
